XXO_X__O_ W: 28327, L: 58392, T: 13291
XXO_XOXO_ W: 28327, L: 58392, T: 13291
__XXX_O_O W: 28327, L: 58392, T: 13291
____XX__O W: 28327, L: 58392, T: 13291
_X_OXX__O W: 28327, L: 58392, T: 13291
OX_OXXX_O W: 28327, L: 58392, T: 13291
_O___X_X_ W: 28327, L: 58392, T: 13291
_O__XX_XO W: 28327, L: 58392, T: 13291
_OO_XXXXO W: 28327, L: 58392, T: 13291
_X_OX____ W: 28327, L: 58392, T: 13291
X__X__O__ W: 28327, L: 58392, T: 13291
X_OXX_O__ W: 28327, L: 58392, T: 13291
XX_OXX_OO W: 28327, L: 58392, T: 13291
______XOX W: 28327, L: 58392, T: 13291
OX____XOX W: 28327, L: 58392, T: 13291
OXX_O_XOX W: 28327, L: 58392, T: 13291
_X_O_X___ W: 28327, L: 58392, T: 13291
_X_O_XO_X W: 28327, L: 58392, T: 13291
XX_O_XOOX W: 28327, L: 58392, T: 13291
XXO_XXOO_ W: 28327, L: 58392, T: 13291
___X_XO__ W: 28327, L: 58392, T: 13291
__XXOXO__ W: 28327, L: 58392, T: 13291
_OX_X____ W: 28327, L: 58392, T: 13291
XOXOX____ W: 28327, L: 58392, T: 13291
_____OX_X W: 28327, L: 58392, T: 13291
OX___OX_X W: 28327, L: 58392, T: 13291
__XX_XOO_ W: 28327, L: 58392, T: 13291
X_X_O__XO W: 28327, L: 58392, T: 13291
XOXX__O__ W: 28327, L: 58392, T: 13291
XOXXX_OO_ W: 28327, L: 58392, T: 13291
X_XOX_O__ W: 28327, L: 58392, T: 13291
OXO__X_X_ W: 28327, L: 58392, T: 13291
OXO_OXXX_ W: 28327, L: 58392, T: 13291
__O__XXOX W: 28327, L: 58392, T: 13291
O_OX_XXOX W: 28327, L: 58392, T: 13291
XOO___X_X W: 28327, L: 58392, T: 13291
_____OXX_ W: 28327, L: 58392, T: 13291
XOX_OOXX_ W: 28327, L: 58392, T: 13291
__O__X__X W: 28327, L: 58392, T: 13291
X_O__X_OX W: 28327, L: 58392, T: 13291
_XOXXO_OX W: 28327, L: 58392, T: 13291
X__OXX__O W: 28327, L: 58392, T: 13291
XX_OXXO_O W: 28327, L: 58392, T: 13291
O__XX____ W: 28327, L: 58392, T: 13291
OOXXX____ W: 28327, L: 58392, T: 13291
OOXXX__OX W: 28327, L: 58392, T: 13291
X_XO_____ W: 28327, L: 58392, T: 13291
XOXO_OX_X W: 28327, L: 58392, T: 13291
____X_O_X W: 28327, L: 58392, T: 13291
O__XX_O_X W: 28327, L: 58392, T: 13291
O____X_X_ W: 28327, L: 58392, T: 13291
O_O__X_XX W: 28327, L: 58392, T: 13291
_X___O_X_ W: 28327, L: 58392, T: 13291
_X_O_O_XX W: 28327, L: 58392, T: 13291
