O____XXOX W: 5101, L: 22321, T: 2587
XX_OX_O__ W: 5101, L: 22321, T: 2587
______OXX W: 5101, L: 22321, T: 2587
X___O_OXX W: 5101, L: 22321, T: 2587
XX__OOOXX W: 5101, L: 22321, T: 2587
OOXX____X W: 5101, L: 22321, T: 2587
OX_XXO___ W: 5101, L: 22321, T: 2587
X_X_O__XO W: 5101, L: 22321, T: 2587
OX__OX__X W: 5101, L: 22321, T: 2587
OXOXOX__X W: 5101, L: 22321, T: 2587
XO_XX___O W: 5101, L: 22321, T: 2587
XOXXX__OO W: 5101, L: 22321, T: 2587
___X__XO_ W: 5101, L: 22321, T: 2587
_X_XO_XO_ W: 5101, L: 22321, T: 2587
_X_XOXXOO W: 5101, L: 22321, T: 2587
OO_X___XX W: 5101, L: 22321, T: 2587
O__O_XX_X W: 5101, L: 22321, T: 2587
_X_O__XOX W: 5101, L: 22321, T: 2587
OX_OX_XOX W: 5101, L: 22321, T: 2587
_OXO_X_X_ W: 5101, L: 22321, T: 2587
_XOOX_X__ W: 5101, L: 22321, T: 2587
OXOOXXX__ W: 5101, L: 22321, T: 2587
___X__OX_ W: 5101, L: 22321, T: 2587
OX_X__OX_ W: 5101, L: 22321, T: 2587
OXXX_OOX_ W: 5101, L: 22321, T: 2587
X___XX_OO W: 5101, L: 22321, T: 2587
_X____O_X W: 5101, L: 22321, T: 2587
OXX___O_X W: 5101, L: 22321, T: 2587
OXXX__OOX W: 5101, L: 22321, T: 2587
X___OX_XO W: 5101, L: 22321, T: 2587
XX_O_____ W: 5101, L: 22321, T: 2587
XXOO___X_ W: 5101, L: 22321, T: 2587
XXOOO_XX_ W: 5101, L: 22321, T: 2587
XOOX_X___ W: 5101, L: 22321, T: 2587
OX____X__ W: 5101, L: 22321, T: 2587
OXOX__XXO W: 5101, L: 22321, T: 2587
X_XOO__X_ W: 5101, L: 22321, T: 2587
X___O_X__ W: 5101, L: 22321, T: 2587
X_X___OOX W: 5101, L: 22321, T: 2587
_OXO__XX_ W: 5101, L: 22321, T: 2587
X__O_X___ W: 5101, L: 22321, T: 2587
X_OO_XX__ W: 5101, L: 22321, T: 2587
__X__X_O_ W: 5101, L: 22321, T: 2587
__XXOX_O_ W: 5101, L: 22321, T: 2587
X_XO_OX__ W: 5101, L: 22321, T: 2587
______XOX W: 5101, L: 22321, T: 2587
_OX_____X W: 5101, L: 22321, T: 2587
_OXXO___X W: 5101, L: 22321, T: 2587
